session_uid,session_type,car_idx,driver_column,driver_raw,lap,tyre,lap_time_ms,wear_avg,wear_rl,wear_rr,wear_fl,wear_fr,sess_time_sec,sc_status,tyre_age,s1_ms,s2_ms,s3_ms,fuel_mix,fuel_mix_history
15867583988701939448,OSQ,10,HAMILTON [10],HAMILTON,1,Soft,45058,1.5,2,1,2,1,48.5655517578125,,0,9966,13897,21195,2,
15867583988701939448,OSQ,16,VERSTAPPEN [16],VERSTAPPEN,1,Soft,45092,1.5,2,1,2,1,48.6141357421875,,0,10032,13833,21227,2,
15867583988701939448,OSQ,11,BOTTAS [11],BOTTAS,1,Soft,45138,1.5,2,1,2,1,48.64635467529297,,0,9985,14007,21146,2,
15867583988701939448,OSQ,3,SAINZ [3],SAINZ,1,Soft,45267,1.5,2,1,2,1,48.77476501464844,,0,10023,14000,21244,2,
15867583988701939448,OSQ,14,NORRIS [14],NORRIS,1,Soft,45284,1.5,2,1,2,1,48.79069519042969,,0,10056,14007,21221,2,
15867583988701939448,OSQ,19,ALBON [19],ALBON,1,Soft,45483,1.2,1,1,2,1,48.981449127197266,,0,10203,14065,21215,1,
15200087800703517103,Race,10,HAMILTON [10],HAMILTON,1,Soft,48137,4.2,5,4,5,3,53.57196807861328,,0,12920,13996,21221,3,
15200087800703517103,Race,16,VERSTAPPEN [16],VERSTAPPEN,1,Soft,48593,4.2,5,4,5,3,54.008968353271484,,0,13069,14172,21352,3,
15200087800703517103,Race,11,BOTTAS [11],BOTTAS,1,Soft,49060,4.2,5,4,5,3,54.47962951660156,,0,13781,13965,21314,3,
15200087800703517103,Race,3,SAINZ [3],SAINZ,1,Soft,49772,4.2,5,4,5,3,55.1904182434082,,0,13959,14314,21499,3,
15200087800703517103,Race,14,NORRIS [14],NORRIS,1,Soft,50403,4.2,5,4,5,3,55.8143310546875,,0,14149,14697,21557,3,
15200087800703517103,Race,8,RICCIARDO [8],RICCIARDO,1,Soft,50780,3.8,4,4,4,3,56.19953536987305,,0,14333,14806,21641,3,
15200087800703517103,Race,19,ALBON [19],ALBON,1,Soft,51838,4.8,5,4,6,4,57.259849548339844,,0,14205,15802,21831,1,
